buildupArea_sqft,bathrooms,bhk,flat_price,location1,age_of_property,furnishing,bedrooms,balcony,parking
1060,2,2 BHK Flat,0.95,Mira Road East,recent construction,Semi Furnished,2,0,yes
525,2,1 BHK Flat,0.93,Borivali East,mid age property,Semi Furnished,1,0,no
1065,2,2 BHK Flat,1.48,Bhandup West,new construction,Semi Furnished,2,1,yes
1150,2,3 BHK Flat,2.5,Bhandup West,recent construction,Semi Furnished,3,0,yes
480,2,1 BHK Flat,1.1,Wadala East,new construction,Unfurnished,1,0,yes
900,2,2 BHK Flat,1.1,Thane West,new construction,Semi Furnished,2,2,yes
725,2,1 BHK Flat,1.05,Bhandup West,recent construction,Semi Furnished,1,0,yes
3375,3,3 BHK Flat,4.15,Goregaon East,recent construction,Fully Furnished,3,3,yes
1250,2,2 BHK Flat,2.4,Powai,recent construction,Unfurnished,2,2,yes
963,2,2 BHK Flat,1.42,Borivali East,new construction,Unfurnished,2,0,yes
1125,2,2 BHK Flat,2.5,Goregaon West,new construction,Semi Furnished,2,3,yes
900,2,2 BHK Flat,1.62,Goregaon East,modern property,Semi Furnished,2,0,yes
1060,2,2 BHK Flat,1.46,Bhandup West,modern property,Semi Furnished,2,1,yes
550,2,1 BHK Flat,1.35,Kandivali West,recent construction,Semi Furnished,1,0,yes
1500,3,3 BHK Flat,3.65,Powai,new construction,Unfurnished,3,1,yes
708,2,2 BHK Flat,1.17,Kurla East,recent construction,Semi Furnished,2,0,yes
1900,3,4 BHK Flat,9.5,Lower Parel,new construction,Unfurnished,4,1,yes
392,2,1 BHK Flat,0.97,Vikhroli East,new construction,Semi Furnished,1,0,yes
550,1,1 BHK Flat,1.15,Kurla West,new construction,Semi Furnished,1,0,yes
1010,2,3 BHK Flat,1.88,Kandivali West,recent construction,Semi Furnished,3,0,yes
432,1,1 BHK Flat,0.6,Mira Road East,recent construction,Semi Furnished,1,2,no
1700,3,4 BHK Flat,5.5,Chembur,recent construction,Semi Furnished,4,3,yes
1050,2,2 BHK Flat,1.7,Kandivali East,recent construction,Semi Furnished,2,0,yes
1080,2,3 BHK Flat,0.52,Nalasopara East,recent construction,Semi Furnished,3,3,yes
960,1,3 BHK Flat,3.3,Parel,mid age property,Fully Furnished,3,0,yes
650,2,1 BHK Flat,0.3,Virar West,recent construction,Unfurnished,1,2,no
616,1,1 BHK Flat,1.7,Sion,recent construction,Semi Furnished,1,1,yes
490,2,1 BHK Flat,1,Malad West,recent construction,Semi Furnished,1,0,yes
1670,2,3 BHK Flat,4.75,Sion,recent construction,Semi Furnished,3,2,yes
1300,3,3 BHK Flat,2.5,Kurla West,new construction,Semi Furnished,3,0,yes
890,2,2 BHK Flat,0.49,Virar West,recent construction,Semi Furnished,2,0,yes
1579,2,3 BHK Flat,6.8,Chembur,recent construction,Semi Furnished,3,1,yes
750,2,2 BHK Flat,2,Mulund West,recent construction,Unfurnished,2,3,yes
995,2,2 BHK Flat,0.82,Mira Road East,new construction,Semi Furnished,2,3,yes
1300,3,3 BHK Flat,4.3,Chembur,recent construction,Semi Furnished,3,2,yes
1100,2,2 BHK Flat,2.05,Andheri East,recent construction,Semi Furnished,2,2,yes
590,1,1 BHK Flat,1.6,Lower Parel,new construction,Semi Furnished,1,1,yes
600,2,1 BHK Flat,1.35,Malad West,modern property,Fully Furnished,1,0,yes
955,2,2 BHK Flat,1.9,Wadala East,recent construction,Unfurnished,2,0,yes
1500,3,3 BHK Flat,7,Khar West,new construction,Semi Furnished,3,0,yes
1000,3,3 BHK Flat,2,Borivali East,recent construction,Unfurnished,3,0,yes
2080,4,4 BHK Flat,7.1,Powai,recent construction,Unfurnished,4,1,yes
650,2,1 BHK Flat,0.65,Mira Road East,recent construction,Unfurnished,1,3,yes
775,1,2 BHK Flat,0.5,Naigaon East,new construction,Unfurnished,2,3,yes
1052,2,2 BHK Flat,1.75,Andheri East,modern property,Fully Furnished,2,1,yes
650,2,1 BHK Flat,0.8,Kandivali West,recent construction,Unfurnished,1,0,yes
600,2,1 BHK Flat,1.4,Santacruz East,new construction,Unfurnished,1,0,yes
1450,3,3 BHK Flat,4.2,Jogeshwari West,modern property,Semi Furnished,3,0,yes
1200,3,3 BHK Flat,4.15,Vile Parle East,new construction,Semi Furnished,3,0,yes
1200,3,3 BHK Flat,2.4,Kandivali East,modern property,Fully Furnished,3,1,yes
2100,4,4 BHK Flat,2.25,Kandivali East,modern property,Semi Furnished,4,0,yes
515,2,1 BHK Flat,0.75,Mira Road East,recent construction,Unfurnished,1,2,yes
600,2,2 BHK Flat,2.15,Andheri West,recent construction,Unfurnished,2,0,yes
1260,3,3 BHK Flat,3.75,Chembur,recent construction,Unfurnished,3,4,yes
738,1,1 BHK Flat,0.29,Virar West,recent construction,Semi Furnished,1,2,yes
750,1,1 BHK Flat,1.23,Borivali West,new construction,Semi Furnished,1,0,no
400,2,1 BHK Flat,0.95,Borivali West,recent construction,Unfurnished,1,3,no
925,2,2 BHK Flat,2.05,Kandivali East,modern property,Unfurnished,2,0,yes
650,2,1 BHK Flat,0.28,Virar West,recent construction,Semi Furnished,1,2,yes
2100,4,4 BHK Flat,13.5,Santacruz West,modern property,Fully Furnished,4,2,yes
590,2,1 BHK Flat,0.35,Naigaon East,recent construction,Semi Furnished,1,2,yes
2800,2,6 BHK Flat,13.5,Andheri West,recent construction,Semi Furnished,6,0,yes
500,2,1 BHK Flat,1.15,Mulund East,modern property,Unfurnished,1,0,yes
500,1,1 BHK Flat,0.25,Naigaon East,recent construction,Unfurnished,1,3,yes
1050,2,2 BHK Flat,1.9,Kanjurmarg East,recent construction,Semi Furnished,2,1,yes
609,1,1 BHK Flat,0.33,Naigaon East,recent construction,Unfurnished,1,3,yes
750,2,2 BHK Flat,0.46,Virar West,new construction,Semi Furnished,2,3,no
1700,5,4 BHK Flat,8.4,Goregaon East,recent construction,Semi Furnished,4,1,yes
700,2,1 BHK Flat,0.59,Mira Road East,new construction,Semi Furnished,1,2,yes
650,2,1 BHK Flat,1.6,Govandi,recent construction,Semi Furnished,1,0,yes
410,2,1 BHK Flat,1.25,Jogeshwari East,new construction,Semi Furnished,1,2,yes
1500,2,3 BHK Flat,3.35,Powai,recent construction,Unfurnished,3,1,yes
1250,2,2 BHK Flat,2.5,Kandivali East,recent construction,Semi Furnished,2,3,yes
1500,3,4 BHK Flat,4.79,Andheri West,recent construction,Unfurnished,4,4,yes
1295,2,3 BHK Flat,3.35,Kandivali East,new construction,Unfurnished,3,1,yes
1250,3,3 BHK Flat,5.75,Mahim,modern property,Fully Furnished,3,0,yes
1000,2,2 BHK Flat,0.65,Mira Road East,modern property,Semi Furnished,2,3,yes
1770,3,3 BHK Flat,5.5,Santacruz East,new construction,Unfurnished,3,0,yes
1070,2,2 BHK Flat,0.68,Vasai East,recent construction,Unfurnished,2,3,yes
600,1,1 BHK Flat,1.04,Bhandup West,recent construction,Semi Furnished,1,2,yes
1350,1,3 BHK Flat,5.25,Borivali East,recent construction,Unfurnished,3,0,yes
1600,3,3 BHK Flat,5.5,Dadar East,recent construction,Unfurnished,3,0,yes
1230,2,2 BHK Flat,2.35,Govandi,new construction,Unfurnished,2,1,yes
655,2,1 BHK Flat,1.05,Mulund East,mid age property,Semi Furnished,1,0,no
705,2,1 BHK Flat,0.8,Mira Road East,new construction,Unfurnished,1,2,yes
900,2,2 BHK Flat,1.7,Kandivali East,modern property,Semi Furnished,2,0,yes
600,2,1 BHK Flat,1.05,Andheri East,new construction,Unfurnished,1,0,yes
730,2,1 BHK Flat,0.73,Mira Road East,new construction,Semi Furnished,1,0,yes
850,2,2 BHK Flat,3.8,Parel,new construction,Semi Furnished,2,0,yes
1100,3,3 BHK Flat,5.5,Vile Parle West,recent construction,Unfurnished,3,0,yes
530,2,1 BHK Flat,0.22,Nalasopara West,recent construction,Semi Furnished,1,3,yes
